datetime,Eólica,Hidráulica,Otras renovables,Residuos renovables,Solar fotovoltaica,Solar térmica,hora,dia_semana,mes,es_fin_semana,trimestre
2022-01-01 23:00:00+00:00,103224.219,52663.908,14173.18,2387.782,42032.416,4509.884,23,5,1,1,1
2022-01-02 23:00:00+00:00,151458.364,53068.508,14249.328,2388.435,46275.789,6250.758,23,6,1,1,1
2022-01-03 23:00:00+00:00,302569.215,51497.125,14951.21,2361.4625,26961.168,1141.307,23,0,1,0,1
2022-01-04 23:00:00+00:00,288109.621,57195.362,14758.413,2387.6545,33969.307,1970.0,23,1,1,0,1
2022-01-05 23:00:00+00:00,196473.458,60819.354,14508.809,2363.108,51808.514,6858.916,23,2,1,0,1
2022-01-06 23:00:00+00:00,208086.426,61828.317,14961.124,1868.2005,50857.935,7903.452,23,3,1,0,1
2022-01-07 23:00:00+00:00,261840.127,56439.661,14858.061,2358.3015,43500.686,2736.09,23,4,1,0,1
2022-01-08 23:00:00+00:00,392836.041,47992.706,14041.184,2370.8715,39167.15,4320.112,23,5,1,1,1
2022-01-09 23:00:00+00:00,307206.821,71538.166,14227.208,2332.08,37272.071,3047.808,23,6,1,1,1
2022-01-10 23:00:00+00:00,243326.747,72588.11,14419.601,2166.616,43255.163,5742.221,23,0,1,0,1
2022-01-11 23:00:00+00:00,262764.663,64160.029,13885.008,2093.575,53236.148,7250.378,23,1,1,0,1
2022-01-12 23:00:00+00:00,128972.258,92767.007,14322.746,2069.964,51342.015,6936.346,23,2,1,0,1
2022-01-13 23:00:00+00:00,84023.751,94145.911,14325.956,2078.501,50498.544,6621.63,23,3,1,0,1
2022-01-14 23:00:00+00:00,62011.399,91887.61,14854.654,2083.3705,51528.371,6439.666,23,4,1,0,1
2022-01-15 23:00:00+00:00,64140.734,77921.664,14319.25,2239.0645,55654.136,6044.411,23,5,1,1,1
2022-01-16 23:00:00+00:00,76131.145,86786.218,13497.457,2135.7915,58980.903,8099.796,23,6,1,1,1
2022-01-17 23:00:00+00:00,50593.352,88288.03,12957.42,2038.3765,59547.559,7751.063,23,0,1,0,1
2022-01-18 23:00:00+00:00,96063.111,79449.186,12999.103,2054.144,58043.631,8088.549,23,1,1,0,1
2022-01-19 23:00:00+00:00,208372.651,69422.179,13386.813,2000.1635,58270.889,8236.413,23,2,1,0,1
2022-01-20 23:00:00+00:00,307486.094,55307.414,13266.074,1892.2845,59699.94,8747.55,23,3,1,0,1
2022-01-21 23:00:00+00:00,174687.507,52908.469,13261.382,2155.9,52759.805,8167.703,23,4,1,0,1
2022-01-22 23:00:00+00:00,95033.597,66024.915,12417.304,2260.958,46146.274,3164.662,23,5,1,1,1
2022-01-23 23:00:00+00:00,82138.372,93479.039,12405.46,2306.7825,43761.776,3149.549,23,6,1,1,1
2022-01-24 23:00:00+00:00,99780.138,75775.506,13182.852,2329.6435,43020.066,3982.911,23,0,1,0,1
2022-01-25 23:00:00+00:00,122851.364,82570.09,12964.856,2355.618,38068.026,912.445,23,1,1,0,1
2022-01-26 23:00:00+00:00,134079.937,66971.955,13411.33,2306.07,49852.119,2736.412,23,2,1,0,1
2022-01-27 23:00:00+00:00,213019.302,54858.446,13498.651,2286.62,63967.042,7939.901,23,3,1,0,1
2022-01-28 23:00:00+00:00,114512.976,54088.342,13401.094,2316.85,65020.77,7695.927,23,4,1,0,1
2022-01-29 23:00:00+00:00,91995.804,52934.204,13269.68,2286.939,58237.89,2791.256,23,5,1,1,1
2022-01-30 23:00:00+00:00,291235.845,50214.76,12834.584,2279.814,59125.994,5036.253,23,6,1,1,1
2022-01-31 23:00:00+00:00,314120.963,43982.711,12418.61,2346.6995,65120.954,11109.532,23,0,1,0,1
2022-02-01 23:00:00+00:00,142968.357,45790.669,13227.157,2427.751,68685.614,11713.082,23,1,2,0,1
2022-02-02 23:00:00+00:00,83298.879,44736.909,13301.98,2362.5535,54859.326,4680.826,23,2,2,0,1
2022-02-03 23:00:00+00:00,104908.095,43784.029,13256.324,2436.916,34941.342,378.878,23,3,2,0,1
2022-02-04 23:00:00+00:00,194861.249,27907.566,12892.953,2476.0745,48099.441,3678.128,23,4,2,0,1
2022-02-05 23:00:00+00:00,146148.357,32246.318,13173.078,2480.1865,57725.562,6986.745,23,5,2,1,1
2022-02-06 23:00:00+00:00,230300.646,34195.675,13066.186,2427.4175,69592.814,11721.169,23,6,2,1,1
2022-02-07 23:00:00+00:00,135505.185,35427.689,14001.449,2382.2985,67466.224,11905.95,23,0,2,0,1
2022-02-08 23:00:00+00:00,102342.019,44349.113,14102.368,2432.742,63447.903,10056.906,23,1,2,0,1
2022-02-09 23:00:00+00:00,49985.087,52353.205,13279.958,2402.653,60039.427,6706.756,23,2,2,0,1
2022-02-10 23:00:00+00:00,74209.77,57381.227,13181.514,2421.5985,57800.922,5114.518,23,3,2,0,1
2022-02-11 23:00:00+00:00,49280.787,46106.872,13328.373,2463.568,50251.185,2586.272,23,4,2,0,1
2022-02-12 23:00:00+00:00,247543.301,28127.296,13085.725,2445.165,41823.78,1774.711,23,5,2,1,1
2022-02-13 23:00:00+00:00,299873.419,36435.035,12696.676,2430.896,65942.973,8173.417,23,6,2,1,1
2022-02-14 23:00:00+00:00,233260.937,43537.02,12548.308,2266.037,72636.912,11873.394,23,0,2,0,1
2022-02-15 23:00:00+00:00,313784.584,27839.743,12285.364,2232.643,59449.259,8065.491,23,1,2,0,1
2022-02-16 23:00:00+00:00,176148.271,42861.983,13052.737,2348.2905,73016.041,11428.492,23,2,2,0,1
2022-02-17 23:00:00+00:00,144309.805,47606.813,13573.59,2336.4735,69274.229,10039.193,23,3,2,0,1
2022-02-18 23:00:00+00:00,226441.701,33028.231,13983.409,2382.7165,46276.826,3655.777,23,4,2,0,1
2022-02-19 23:00:00+00:00,137019.418,39434.492,13781.106,2336.5,73880.123,12422.467,23,5,2,1,1
2022-02-20 23:00:00+00:00,196783.28,40132.181,13668.057,2390.984,79987.346,15248.398,23,6,2,1,1
2022-02-21 23:00:00+00:00,180673.214,41168.218,14069.355,2444.7265,83079.932,16086.675,23,0,2,0,1
2022-02-22 23:00:00+00:00,111385.453,47695.697,13343.622,2419.984,62765.417,4271.198,23,1,2,0,1
2022-02-23 23:00:00+00:00,134142.976,53445.995,14050.899,2471.2015,41807.417,1000.717,23,2,2,0,1
2022-02-24 23:00:00+00:00,301636.596,47794.918,13867.283,2481.756,30552.859,780.184,23,3,2,0,1
2022-02-25 23:00:00+00:00,175164.456,48590.92,13917.061,2491.572,29456.393,425.962,23,4,2,0,1
2022-02-26 23:00:00+00:00,59532.747,48488.147,12969.678,2269.07,52548.059,4131.897,23,5,2,1,1
2022-02-27 23:00:00+00:00,58140.946,40270.916,13788.533,2098.405,75745.54,12175.633,23,6,2,1,1
2022-02-28 23:00:00+00:00,123076.035,46013.742,14464.034,1945.9,76296.301,13068.189,23,0,2,0,1
2022-03-01 23:00:00+00:00,183507.033,49933.152,13506.631,2136.3355,71623.274,13518.494,23,1,3,0,1
2022-03-02 23:00:00+00:00,177000.665,58464.405,14075.585,2289.108,35527.42,1400.456,23,2,3,0,1
2022-03-03 23:00:00+00:00,278139.641,48498.227,14579.7,2433.707,53942.654,9300.635,23,3,3,0,1
2022-03-04 23:00:00+00:00,158039.877,58030.205,14608.914,2448.606,56344.94,4141.335,23,4,3,0,1
2022-03-05 23:00:00+00:00,129628.832,54890.573,14446.724,2374.411,57379.073,12363.073,23,5,3,1,1
2022-03-06 23:00:00+00:00,102770.679,69767.465,14385.615,2357.985,46524.451,5543.054,23,6,3,1,1
2022-03-07 23:00:00+00:00,168058.487,46112.58,13984.438,2327.319,51734.838,4040.675,23,0,3,0,1
2022-03-08 23:00:00+00:00,159043.62,52481.276,13487.896,2330.9035,67636.29,10625.415,23,1,3,0,1
